title,mean
DEPUTY COMMISSIONER - ADMINISTRATION,152500.0
"Senior Advisor to the FDC, Legal & Policy",150000.0
Senior Advisor to the Chief of Department,150000.0
Senior Advisor to the Bureau Chief of Operations,150000.0
Executive Director,144879.0
Executive Director of Human Resources,144879.0
Director of Technical Services & Compliance,144879.0
Bronx Borough Commissioner,137500.0
"Assistant Commissioner for EEO, Diversity & Inclusion",135000.0
Administrative Housing Manager for LHD - Bronx Client Services,132095.0
