title,mean
"Assistant Commissioner, Health Affairs",140000.0
Medicolegal Investigator Supervisor,114318.0
Criminalist (detailed to Assistant Director of Laboratory),114000.0
"Executive Director, Health Policy, Bureau of Primary Care Access & Planning",110512.0
"Director, Data Analytics and Research",107142.0
Criminalist IV,97850.0
"Program Director, Bureau of Health Equity Capacity Building",97734.0
"Research Scientist for Disaster Epidemiology, World Trade Center Health Registry",94689.0
Poison Information Specialist,93182.0
"Chief Communications Officer, Office of the Commissioner",90995.0
