title,mean
Information Security Specialist,155000.0
ACRIS System's Application Manager,150000.0
Director IT Service Management (ITSM),144879.0
Senior IT Architect 12-103,140000.0
Associate Director,135000.0
Deputy Director Security Engineering,132095.0
"Senior Assistant Director, Technology Strategy",130000.0
Middleware Engineer,130000.0
Director of Customer Support,130000.0
Database Administrator and Developer,130000.0
IT Architect,130000.0
"Lead Data Engineer, Technology Strategy",125000.0
UNIX SYSTEM ADMINISTRATOR,125000.0
Technical Project Manager,125000.0
Server Engineer,124089.0
Deputy CISO,124089.0
MAINFRAME PROGRAMMER ANALYST,123750.0
Senior WebSphere Administrator,120000.0
Senior QA Specialist,120000.0
Senior BI Specialist,120000.0
